epoch,train_loss,train_acc,val_loss,val_acc
1,1.720517,36.7689,1.364989,49.8200
2,1.153258,58.3356,1.014204,63.7400
3,0.887781,68.4022,0.841396,70.4800
4,0.739897,74.1200,0.732359,74.3200
5,0.646774,77.4311,0.641897,77.3800
6,0.573984,79.9422,0.651458,77.6800
7,0.518431,82.1133,0.588894,79.5800
8,0.471616,83.5111,0.551778,81.1200
9,0.441615,84.7533,0.541380,81.7400
10,0.411901,85.7244,0.537340,81.9800
11,0.380985,86.7867,0.525649,82.3800
12,0.360560,87.4422,0.513274,83.3200
13,0.342640,88.0333,0.507983,82.8800
14,0.325033,88.8111,0.462636,84.4000
15,0.309472,89.3378,0.505114,84.1400
16,0.290986,90.0467,0.515075,83.5400
17,0.282452,90.2622,0.498190,84.3400
18,0.272484,90.6089,0.512274,84.4400
19,0.261676,90.7378,0.499473,84.9000
20,0.252374,91.3778,0.526922,84.0200
21,0.241757,91.5289,0.463851,85.7600
22,0.233774,91.8022,0.561608,83.1800
23,0.229609,92.1311,0.540658,84.8600
24,0.232521,92.0667,0.500528,84.6400
25,0.215180,92.5756,0.522011,85.0600
26,0.223810,92.2289,0.471126,85.8000
27,0.197827,93.2022,0.520006,85.5400
28,0.202859,93.0733,0.554967,84.3800
29,0.196069,93.3600,0.578871,84.2200
30,0.194595,93.2889,0.501946,86.3400
31,0.187171,93.6400,0.568979,85.4000
32,0.181960,93.7867,0.540719,85.4000
33,0.180835,93.7756,0.559776,86.0000
34,0.176558,93.9822,0.521074,86.2800
35,0.184442,93.7022,0.605086,84.0000
36,0.173904,94.0489,0.528168,85.4600
37,0.178565,93.9800,0.585374,84.2600
38,0.166463,94.4267,0.519020,85.6000
39,0.164240,94.4822,0.523905,86.2600
40,0.160848,94.5378,0.546065,84.9000
41,0.159248,94.7378,0.551958,85.5600
42,0.161703,94.5600,0.526820,84.9400
43,0.155740,94.6867,0.603363,85.1400
44,0.152535,94.8200,0.595900,85.7400
45,0.148587,94.9622,0.603137,85.6800
46,0.151696,94.8444,0.617898,85.3000
47,0.147670,94.9400,0.596834,86.0800
48,0.153555,94.9022,0.565133,85.6400
49,0.143742,95.2778,0.625250,85.5200
50,0.145856,95.2267,0.549578,86.3400
