epoch,train_loss,train_acc,val_loss,val_acc
1,1.847768,35.8333,1.382413,49.2000
2,1.226675,55.5533,1.050032,62.1200
3,0.953611,65.9511,0.900738,67.7600
4,0.791543,72.0578,0.776269,73.1400
5,0.685828,76.0822,0.643047,77.4800
6,0.610001,78.7089,0.653824,77.7400
7,0.555174,80.7178,0.620674,78.2400
8,0.501763,82.6400,0.621232,78.8200
9,0.464207,83.8644,0.564291,80.2400
10,0.433968,84.9533,0.555427,82.2000
11,0.404916,86.0444,0.531508,81.1600
12,0.377583,87.0222,0.556744,81.7000
13,0.356866,87.6956,0.522946,83.0000
14,0.335019,88.3111,0.507292,83.4200
15,0.323690,88.8178,0.507507,84.2600
16,0.308616,89.4267,0.457416,85.0800
17,0.294057,89.8067,0.530101,83.2800
18,0.287415,90.0044,0.488146,84.7800
19,0.266240,90.9022,0.485135,84.3600
20,0.260696,91.0844,0.479012,84.9200
21,0.253162,91.3356,0.510683,84.5200
22,0.245913,91.5244,0.471211,85.2600
23,0.232396,92.0733,0.516912,84.3400
24,0.234187,91.9267,0.475059,85.6800
25,0.206796,93.0356,0.520906,85.1200
26,0.214258,92.7267,0.494599,85.0400
27,0.208851,93.0067,0.490312,85.2400
28,0.205901,92.9711,0.490507,85.5800
29,0.195518,93.4000,0.492161,85.7000
30,0.190987,93.4311,0.524036,85.1800
31,0.188721,93.6467,0.541485,85.0600
32,0.188300,93.5578,0.556359,84.5000
33,0.185345,93.7600,0.515587,85.3800
34,0.176114,94.1044,0.496617,86.2200
35,0.180340,93.9844,0.548757,85.5400
36,0.170498,94.3511,0.510866,86.6400
37,0.166121,94.2844,0.517727,85.7400
38,0.156995,94.6867,0.561872,85.7400
39,0.169229,94.3578,0.524138,85.7400
40,0.154937,94.8244,0.541631,85.2200
41,0.152416,94.9111,0.526833,85.8200
42,0.155136,94.9444,0.524602,86.2600
43,0.144853,95.1089,0.552495,85.5800
44,0.162260,94.6244,0.560978,85.0800
45,0.153180,94.8844,0.539573,86.3400
46,0.146857,95.1711,0.569074,85.9200
47,0.146426,95.2378,0.607173,85.3800
48,0.150301,95.0467,0.538408,86.3600
49,0.136233,95.5089,0.555477,85.7600
50,0.128074,95.6200,0.609450,86.5200
