epoch,train_loss,train_acc,val_loss,val_acc
1,1.835010,34.8422,1.497149,46.9800
2,1.251361,54.8044,1.085019,61.1600
3,0.986618,64.9711,0.892882,67.6200
4,0.820387,71.2489,0.786083,73.0000
5,0.701565,75.2822,0.718625,75.3400
6,0.626440,78.3378,0.647385,77.4200
7,0.573062,80.1844,0.621360,78.2400
8,0.520157,82.1667,0.614859,79.1400
9,0.479069,83.5244,0.558944,80.6000
10,0.449171,84.5356,0.559965,81.0600
11,0.425462,85.3644,0.533703,82.2200
12,0.391541,86.4289,0.522897,83.2600
13,0.373211,87.2378,0.514249,83.0600
14,0.351094,87.9733,0.529719,82.6400
15,0.336135,88.3822,0.493563,84.5600
16,0.319820,89.1289,0.529281,83.1600
17,0.304130,89.6644,0.479376,83.9800
18,0.299907,89.6289,0.521356,83.2800
19,0.282466,90.3000,0.476032,84.9600
20,0.274781,90.5467,0.495882,84.9800
21,0.268035,90.7511,0.482553,84.8800
22,0.255755,91.1444,0.558573,84.4200
23,0.244779,91.7667,0.488834,85.2200
24,0.237442,91.8378,0.549668,84.0600
25,0.224505,92.3733,0.546887,84.1000
26,0.225427,92.1467,0.514305,85.5800
27,0.213159,92.7956,0.543197,84.9000
28,0.213404,92.7844,0.490755,85.5600
29,0.209642,92.8289,0.537291,84.7400
30,0.205218,93.0889,0.524050,86.0400
31,0.203112,93.0667,0.542872,85.2800
32,0.192722,93.3844,0.494809,85.8800
33,0.185960,93.6778,0.534437,85.5400
34,0.192647,93.4022,0.526580,85.6000
35,0.183263,93.8444,0.575138,84.8800
36,0.181166,93.9133,0.514250,85.4200
37,0.176431,94.0489,0.602956,84.3800
38,0.177157,94.0444,0.603774,84.5600
39,0.161546,94.6400,0.584175,85.2000
40,0.167020,94.3733,0.567274,85.0400
41,0.164103,94.4111,0.530924,85.6400
42,0.169599,94.3689,0.571378,85.0800
43,0.156994,94.7111,0.625272,85.2400
44,0.153814,94.8533,0.598739,85.6800
45,0.157584,94.8378,0.571346,86.0000
46,0.160007,94.7289,0.550055,85.7400
47,0.152967,94.9089,0.549842,86.6600
48,0.153147,94.9111,0.573254,85.3200
49,0.147773,95.1022,0.530360,86.0800
50,0.143333,95.3311,0.528122,85.6200
